1,1,1
2,1,2
3,2,2
4,3,2
5,3,3
6,3,4
7,4,4
8,4,5
9,5,5
10,5,6
11,6,6
12,6,7
13,7,7
14,7,8
15,8,8
16,8,9
17,9,9
18,10,10
19,10,11
20,11,11
21,11,12
22,12,12
23,13,12
24,13,13
25,14,13
26,14,14
27,15,14
28,15,15
29,16,15
30,16,16
31,17,16
32,17,17
33,18,17
34,18,18
35,19,18
36,19,19
37,20,19
38,20,20
39,21,20
40,21,21
41,22,21
42,22,22
43,23,22
44,23,23
45,24,23
46,25,23
47,25,24
48,26,24
49,26,25
50,27,25
51,27,26
52,27,27
53,28,27
54,28,28
55,29,28
56,29,29
57,29,30
58,30,30
59,31,31
60,32,31
61,32,32
62,32,33
63,33,33
64,34,33
65,34,34
66,35,34
67,35,35
68,36,35
69,36,36
70,37,36
71,37,37
72,38,37
73,38,38
74,38,39
75,39,39
76,40,39
77,40,40
78,41,40
79,41,41
80,42,41
81,42,42
82,43,42
83,44,42
84,44,43
85,45,43
86,45,44
87,46,44
88,47,44
89,47,45
90,48,45
91,48,46
92,48,47
93,49,47
94,49,48
95,50,48
96,50,49
97,51,49
98,51,50
99,51,51
100,52,51
101,52,52
102,53,52
103,53,53
104,53,54
105,54,54
106,55,54
107,55,55
108,55,56
109,56,56
110,56,57
111,57,57
112,57,58
113,58,58
114,59,58
115,59,59
116,59,60
117,60,60
118,60,61
119,61,61
120,61,62
121,62,62
122,62,63
123,63,63
124,64,63
125,64,64
126,65,64
127,65,65
128,66,65
129,66,66
130,67,66
131,67,67
132,68,67
133,68,68
134,69,68
135,69,69
136,70,69
137,70,70
138,71,70
139,71,71
140,72,71
141,73,72
142,73,73
143,74,73
144,74,74
145,75,74
146,75,75
147,75,76
148,76,76
149,77,76
150,77,77
151,78,77
152,78,78
153,79,78
154,79,79
155,80,79
156,81,79
157,81,80
158,82,80
159,82,81
160,82,82
161,83,82
162,83,83
163,84,83
164,84,84
165,85,84
166,85,85
167,86,85
168,86,86
169,86,87
170,87,87
171,87,88
172,88,88
173,89,88
174,89,89
175,90,89
176,90,90
177,91,90
178,91,91
179,92,91
180,93,91
181,93,92
182,94,92
183,94,93
184,95,93
185,95,94
186,96,94
187,96,95
188,97,95
189,97,96
190,98,96
191,98,97
192,98,98
193,99,98
194,100,98
195,100,99
196,103,101
197,103,102
198,104,102
199,104,103
200,105,103
201,105,104
202,106,104
203,106,105
204,106,106
205,107,106
206,107,107
207,108,107
208,108,108
209,109,108
210,109,109
211,110,110
212,111,110
213,111,111
214,112,111
215,112,112
216,113,112
217,113,113
218,114,113
219,114,114
220,115,114
221,115,115
222,116,115
223,116,116
224,117,116
225,117,117
226,118,117
227,118,118
228,119,118
229,120,118
230,120,119
231,120,120
232,121,120
233,121,121
234,122,121
235,122,122
236,123,122
237,123,123
238,124,123
239,124,124
240,125,124
241,125,125
242,126,125
243,126,126
244,127,126
245,128,126
246,128,127
247,129,127
248,129,128
249,129,129
250,130,129
251,130,130
252,131,130
253,131,131
254,131,132
255,132,132
256,133,133
257,133,134
258,134,134
259,134,135
260,135,135
261,136,135
262,136,136
263,137,136
264,137,137
265,138,137
266,138,138
267,139,138
268,139,139
269,140,139
270,141,139
271,141,140
272,142,140
273,142,141
274,143,141
275,143,142
276,144,142
277,145,142
278,145,143
279,146,144
280,146,145
281,147,145
282,147,146
283,148,146
284,148,147
285,149,147
286,149,148
287,150,148
288,150,149
