1,Devon,0,5,0,7,6,0,0,2018-07-22 15:00:51,2018-07-22 15:01:10,2018-07-22 15:02:38,1,,
2,Erma,7,0,7,9,3,7,0,2018-07-22 15:01:02,2018-07-22 15:01:10,2018-07-22 15:04:37,1,,
3,Allen,0,0,0,2,8,2,0,2018-07-22 15:01:13,2018-07-22 15:03:25,2018-07-22 15:04:56,1,,
4,Susan,1,4,9,7,1,0,0,2018-07-22 15:01:25,2018-07-22 15:03:26,2018-07-22 15:05:59,1,,
5,Cathy,9,4,6,0,6,5,0,2018-07-22 15:01:37,2018-07-22 15:04:11,2018-07-22 15:07:25,1,,
6,Susan,8,1,5,1,3,3,0,2018-07-22 15:01:50,2018-07-22 15:05:41,2018-07-22 15:08:19,1,,
7,Madeline,8,5,2,1,7,4,0,2018-07-22 15:01:52,2018-07-22 15:06:34,2018-07-22 15:09:36,1,,
8,Wilma,4,1,4,2,9,5,0,2018-07-22 15:02:13,2018-07-22 15:07:48,2018-07-22 15:10:36,1,,
9,Emily,0,9,5,1,8,5,0,2018-07-22 15:02:28,2018-07-22 15:08:46,2018-07-22 15:11:38,1,,
10,Zelda,2,3,2,0,8,5,0,2018-07-22 15:02:34,2018-07-22 15:10:57,2018-07-22 15:12:49,1,,
11,Madeline,1,1,3,1,3,9,0,2018-07-22 15:02:46,2018-07-22 15:10:57,2018-07-22 15:13:56,1,,
12,Jeni,4,3,9,9,9,7,0,2018-07-22 15:02:51,2018-07-22 15:12:11,2018-07-22 15:15:25,1,,
13,Emily,8,3,4,7,7,6,0,2018-07-22 15:03:07,2018-07-22 15:14:14,2018-07-22 15:16:51,1,,
14,Zelda,9,4,6,0,3,1,0,2018-07-22 15:03:12,2018-07-22 15:15:12,2018-07-22 15:17:34,1,,
15,Ira,0,0,0,4,2,10,0,2018-07-22 15:03:32,2018-07-22 15:16:06,2018-07-22 15:18:26,1,,
16,Marisa,7,5,9,0,6,9,0,2018-07-22 15:03:50,2018-07-22 15:17:16,2018-07-22 15:19:29,1,,
17,Tony,0,5,0,4,3,0,0,2018-07-22 15:04:03,2018-07-22 15:18:01,2018-07-22 15:20:15,1,,
18,Karen,2,9,6,5,8,8,0,2018-07-22 15:04:22,2018-07-22 15:18:58,2018-07-22 15:21:48,1,,
19,Erma,1,6,9,5,2,0,0,2018-07-22 15:04:44,2018-07-22 15:19:50,2018-07-22 15:22:57,1,,
20,Mark,0,0,0,5,6,0,0,2018-07-22 15:04:56,2018-07-22 15:20:54,2018-07-22 15:24:33,1,,
21,Karen,2,4,7,3,7,2,0,2018-07-22 15:04:58,2018-07-22 15:22:33,2018-07-22 15:25:31,1,,
22,Jacqueline,5,8,4,8,4,3,0,2018-07-22 15:05:02,2018-07-22 15:23:48,2018-07-22 15:26:37,1,,
23,Cayce,9,5,8,6,7,6,0,2018-07-22 15:05:25,2018-07-22 15:24:56,2018-07-22 15:29:08,1,,
24,Frida,0,4,3,3,4,2,0,2018-07-22 15:05:33,2018-07-22 15:27:14,2018-07-22 15:29:34,1,,
25,Marisa,5,9,2,1,7,2,0,2018-07-22 15:05:37,2018-07-22 15:28:22,2018-07-22 15:31:26,1,,
26,Ed,0,0,0,2,5,0,0,2018-07-22 15:05:49,2018-07-22 15:29:49,2018-07-22 15:31:38,1,,
27,Ramon,3,6,4,6,4,6,0,2018-07-22 15:06:04,2018-07-22 15:29:49,2018-07-22 15:32:52,1,,
28,Zelda,1,3,0,1,0,5,0,2018-07-22 15:06:21,2018-07-22 15:31:09,2018-07-22 15:33:50,1,,
29,Rick,0,3,0,4,10,0,0,2018-07-22 15:06:41,2018-07-22 15:32:11,2018-07-22 15:34:07,1,,
30,Marisa,9,1,4,2,4,8,0,2018-07-22 15:06:53,2018-07-22 15:32:12,2018-07-22 15:35:20,1,,
31,Barbara,4,4,3,3,9,9,0,2018-07-22 15:07:02,2018-07-22 15:34:27,2018-07-22 15:36:58,1,,
32,Anise,0,4,3,1,5,2,0,2018-07-22 15:07:06,2018-07-22 15:35:39,2018-07-22 15:37:26,1,,
33,Joy,0,6,9,5,3,7,0,2018-07-22 15:07:16,2018-07-22 15:35:39,2018-07-22 15:39:14,1,,
34,Alison,7,1,4,3,9,3,0,2018-07-22 15:07:16,2018-07-22 15:37:47,2018-07-22 15:40:16,1,,
35,Ana,0,0,8,7,0,6,0,2018-07-22 15:07:20,2018-07-22 15:38:53,2018-07-22 15:41:19,1,,
36,Jeni,3,0,3,8,1,7,0,2018-07-22 15:07:30,2018-07-22 15:40:03,2018-07-22 15:42:29,1,,
37,Jacqueline,4,7,4,4,9,4,0,2018-07-22 15:07:46,2018-07-22 15:41:09,2018-07-22 15:43:41,1,,
38,Ed,0,0,0,1,3,7,0,2018-07-22 15:08:01,2018-07-22 15:42:09,2018-07-22 15:44:02,1,,
39,Ana,9,3,2,5,7,9,0,2018-07-22 15:08:05,2018-07-22 15:42:09,2018-07-22 15:45:54,1,,
40,Leslie,0,6,3,6,4,0,0,2018-07-22 15:08:22,2018-07-22 15:44:23,2018-07-22 15:47:16,1,,
41,Lori,7,7,5,9,9,4,0,2018-07-22 15:08:44,2018-07-22 15:45:58,2018-07-22 15:48:38,1,,
42,Barbara,4,8,9,5,9,3,0,2018-07-22 15:08:58,2018-07-22 15:46:55,2018-07-22 15:50:38,1,,
43,Ted,0,8,0,7,5,0,0,2018-07-22 15:09:18,2018-07-22 15:48:56,2018-07-22 15:52:36,1,,
44,Jeni,6,7,8,9,5,9,0,2018-07-22 15:09:24,2018-07-22 15:49:59,2018-07-22 15:54:38,1,,
45,Jacqueline,3,4,2,8,5,9,0,2018-07-22 15:09:28,2018-07-22 15:53:23,2018-07-22 15:55:50,1,,
46,Ted,0,3,0,6,4,0,0,2018-07-22 15:09:29,2018-07-22 15:54:24,2018-07-22 15:56:09,1,,
47,Frida,1,2,1,9,5,2,0,2018-07-22 15:09:35,2018-07-22 15:54:24,2018-07-22 15:57:34,1,,
48,Barbara,2,1,0,3,3,3,0,2018-07-22 15:09:49,2018-07-22 15:55:49,2018-07-22 15:58:19,1,,
49,Madeline,0,1,7,9,1,6,0,2018-07-22 15:10:03,2018-07-22 15:56:44,2018-07-22 15:59:46,1,,
50,Tony,0,10,0,1,1,0,0,2018-07-22 15:10:25,2018-07-22 15:58:15,2018-07-22 16:00:08,1,,
51,Ed,0,0,2,4,9,0,0,2018-07-22 15:10:28,2018-07-22 15:58:15,2018-07-22 16:01:01,1,,
52,Dan,0,0,0,10,10,0,0,2018-07-22 15:10:44,2018-07-22 15:59:21,2018-07-22 16:02:17,1,,
53,Allen,0,0,3,2,3,0,0,2018-07-22 15:10:55,2018-07-22 16:00:32,2018-07-22 16:02:34,1,,
54,Erma,5,8,8,7,5,3,0,2018-07-22 15:11:01,2018-07-22 16:00:32,2018-07-22 16:03:56,1,,
55,Cayce,2,0,2,1,5,9,0,2018-07-22 15:11:17,2018-07-22 16:03:06,2018-07-22 16:04:22,1,,
56,Frida,6,1,6,3,1,8,0,2018-07-22 15:11:38,2018-07-22 16:03:06,2018-07-22 16:05:14,1,,
57,Jen,1,6,1,1,7,4,0,2018-07-22 15:11:56,2018-07-22 16:03:46,2018-07-22 16:06:04,1,,
