,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
14,4,7,9,4,0,1,8,0,1,197.0,9729.0,25,4,2,4,4,1,4,4,2,4
16,5,9,6,1,0,7,9,0,1,230.0,3613.0,31,5,2,5,5,1,5,5,3,2
20,5,7,0,4,4,5,1,0,1,195.0,9284.0,17,5,2,5,5,1,5,5,3,2
24,6,1,5,2,5,7,5,0,1,197.0,8539.0,23,6,2,6,6,1,6,6,4,5
28,7,5,0,1,9,4,8,0,1,216.0,9005.0,26,7,2,7,7,1,7,7,5,6
33,8,3,1,6,5,5,8,0,1,204.0,7979.0,22,8,2,8,8,1,8,8,6,7
40,10,2,9,0,0,5,7,0,1,191.0,5198.0,23,10,2,10,9,1,3,10,2,9
47,12,8,3,8,2,5,9,0,1,289.0,7602.0,27,12,2,12,11,1,2,5,8,10
55,14,4,8,4,6,8,8,0,1,435.0,8844.0,34,6,2,14,13,1,11,2,6,12
67,17,8,1,7,3,6,8,0,1,307.0,6275.0,26,16,2,17,15,1,14,3,8,15
110,28,6,1,2,4,3,8,0,1,214.0,6044.0,22,1,2,28,11,1,25,3,2,23
