,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
13,4,8,1,5,1,3,3,0,1,158.0,389.0,16,4,2,4,4,1,4,4,2,4
15,5,9,4,6,0,6,5,0,1,194.0,348.0,24,5,2,5,5,1,5,5,3,2
17,5,3,9,4,1,3,2,0,1,133.0,3836.0,18,5,2,5,5,1,5,5,3,2
21,6,8,5,2,1,7,4,0,1,182.0,464.0,25,6,2,6,6,1,6,6,4,5
22,6,1,1,3,1,3,9,0,1,179.0,670.0,15,6,2,6,6,1,6,6,4,5
25,7,4,1,4,2,9,5,0,1,168.0,503.0,21,7,2,7,7,1,7,7,5,6
26,7,9,1,4,6,8,0,0,1,190.0,4001.0,24,7,2,7,7,1,7,7,5,6
27,7,0,3,9,1,7,4,0,1,193.0,5616.0,15,7,2,7,7,1,7,7,5,6
29,8,0,9,5,1,8,5,0,1,172.0,550.0,23,8,2,8,8,1,8,8,6,7
31,8,2,1,2,2,6,1,0,1,174.0,6525.0,12,8,2,8,8,1,8,8,6,7
32,8,1,4,1,0,1,1,0,1,142.0,6912.0,7,8,2,8,8,1,8,8,6,7
34,9,2,3,2,0,8,5,0,1,112.0,615.0,18,9,2,9,1,1,6,9,7,8
35,9,9,4,6,0,3,1,0,1,142.0,862.0,17,9,2,9,1,1,6,9,7,8
36,9,1,3,0,1,0,5,0,1,161.0,1649.0,10,9,2,9,1,1,6,9,7,8
44,12,7,5,9,0,6,9,0,1,133.0,939.0,27,12,2,12,11,1,2,5,8,10
45,12,5,9,2,1,7,2,0,1,184.0,1549.0,24,12,2,12,11,1,2,5,8,10
46,12,9,1,4,2,4,8,0,1,188.0,1707.0,24,12,2,12,11,1,2,5,8,10
52,14,2,4,7,3,7,2,0,1,178.0,1233.0,18,6,2,14,13,1,11,2,6,12
53,14,5,0,3,2,2,0,0,1,199.0,4433.0,9,6,2,14,13,1,11,2,6,12
54,14,6,0,3,1,4,2,0,1,177.0,6149.0,13,6,2,14,13,1,11,2,6,12
63,16,2,0,6,1,9,4,0,1,202.0,6489.0,16,15,2,16,14,1,13,11,9,14
66,17,2,0,2,1,5,9,0,1,76.0,3185.0,17,16,2,17,15,1,14,3,8,15
69,18,0,4,3,3,4,2,0,1,140.0,1441.0,13,17,2,18,16,1,15,11,8,2
