,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
64,16,2,0,2,3,4,2,0,1,148.0,9557.0,11,15,2,16,14,1,13,11,9,14
68,17,6,7,7,0,2,0,0,1,174.0,9639.0,15,16,2,17,15,1,14,3,8,15
71,18,6,1,6,3,1,8,0,1,128.0,3216.0,19,17,2,18,16,1,15,11,8,2
89,23,0,4,3,1,5,2,0,1,107.0,1820.0,12,14,2,23,19,1,20,15,10,19
90,23,4,8,2,2,1,1,0,1,134.0,6433.0,16,14,2,23,19,1,20,15,10,19
91,23,7,5,7,3,4,7,0,1,166.0,7148.0,26,14,2,23,19,1,20,15,10,19
92,23,3,1,8,7,6,6,0,1,213.0,7244.0,23,14,2,23,19,1,20,15,10,19
93,23,4,4,8,8,3,3,0,1,184.0,7336.0,22,14,2,23,19,1,20,15,10,19
98,25,7,1,4,3,9,3,0,1,149.0,1980.0,23,23,2,25,21,1,22,12,8,21
99,25,5,0,2,3,0,6,0,1,171.0,7836.0,14,23,2,25,21,1,22,12,8,21
101,26,0,0,8,7,0,6,0,1,146.0,2039.0,13,24,2,26,22,1,23,16,2,16
103,26,6,6,6,0,0,3,0,1,220.0,5070.0,15,24,2,26,22,1,23,16,2,16
118,31,1,6,1,1,7,4,0,1,138.0,3248.0,19,14,2,31,25,1,27,18,8,12
119,31,7,2,8,2,1,5,0,1,254.0,5365.0,17,14,2,31,25,1,27,18,8,12
124,34,5,1,1,5,0,8,0,1,184.0,3444.0,19,18,2,34,11,1,30,11,11,27
125,34,6,0,9,5,2,0,0,1,150.0,5530.0,13,18,2,34,11,1,30,11,11,27
126,34,8,1,6,8,3,4,0,1,172.0,7015.0,24,18,2,34,11,1,30,11,11,27
130,37,9,6,8,2,1,2,0,1,185.0,3795.0,20,27,1,37,10,1,32,20,9,30
133,38,7,2,0,8,6,3,0,1,172.0,3930.0,26,28,2,38,6,1,33,19,8,31
134,38,0,5,4,7,1,6,0,1,160.0,4629.0,19,28,2,38,6,1,33,19,8,31
138,40,7,1,5,1,1,0,0,1,141.0,4458.0,10,20,2,3,3,1,35,21,2,2
139,40,6,4,4,2,2,7,0,1,236.0,6670.0,21,20,2,3,3,1,35,21,2,2
