,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
113,29,0,0,0,9,9,0,0,1,175.0,9765.0,18,9,1,29,24,1,26,17,2,24
114,30,0,0,0,10,10,0,0,1,176.0,3093.0,20,26,1,30,10,1,19,13,2,25
115,30,0,0,0,5,9,0,0,1,112.0,4284.0,14,26,1,30,10,1,19,13,2,25
116,30,5,2,1,5,7,8,0,1,190.0,6899.0,27,26,1,30,10,1,19,13,2,25
117,30,0,0,0,5,5,10,0,1,208.0,9065.0,20,26,1,30,10,1,19,13,2,25
131,37,0,0,0,1,2,3,0,1,184.0,5256.0,6,27,1,37,10,1,32,20,9,30
132,37,0,0,0,2,4,0,0,1,237.0,8325.0,6,27,1,37,10,1,32,20,9,30
135,39,3,3,7,5,4,3,0,1,191.0,4361.0,18,29,1,39,6,1,34,2,2,32
136,39,0,5,0,10,9,0,0,1,145.0,8129.0,24,29,1,39,6,1,34,2,2,32
137,39,0,0,0,6,3,7,0,1,111.0,8465.0,16,29,1,39,6,1,34,2,2,32
