,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
37,10,4,3,9,9,9,7,0,1,194.0,754.0,32,10,2,10,9,1,3,10,2,9
39,10,6,7,8,9,5,9,0,1,279.0,2714.0,36,10,2,10,9,1,3,10,2,9
42,11,10,10,10,8,2,10,0,1,244.0,5468.0,40,11,1,11,10,1,9,5,1,2
47,12,8,3,8,2,5,9,0,1,289.0,538331.0,27,12,2,12,11,1,2,5,8,10
55,14,4,8,4,6,8,8,0,1,435.0,539573.0,34,6,2,14,13,1,11,2,6,12
65,17,9,5,8,6,7,6,0,1,252.0,1423.0,33,16,2,17,15,1,14,3,8,15
67,17,8,1,7,3,6,8,0,1,307.0,6275.0,26,16,2,17,15,1,14,3,8,15
72,18,7,5,0,5,9,6,0,1,189.0,539142.0,32,17,2,18,16,1,15,11,8,2
77,19,10,5,10,5,10,6,0,1,294.0,539949.0,36,18,1,19,17,1,16,12,1,16
84,21,3,4,4,3,10,7,0,1,161.0,538442.0,27,20,1,21,11,1,18,14,3,18
86,22,4,8,9,5,9,3,0,1,223.0,2500.0,29,21,2,22,13,1,19,2,3,2
88,22,2,9,5,9,3,3,0,1,190.0,5006.0,26,21,2,22,13,1,19,2,3,2
91,23,7,5,7,3,4,7,0,1,166.0,537877.0,26,14,2,23,19,1,20,15,10,19
92,23,3,1,8,7,6,6,0,1,213.0,537973.0,23,14,2,23,19,1,20,15,10,19
93,23,4,4,8,8,3,3,0,1,184.0,538065.0,22,14,2,23,19,1,20,15,10,19
94,23,0,6,4,9,6,7,0,1,236.0,538809.0,28,14,2,23,19,1,20,15,10,19
95,24,0,6,9,5,3,7,0,1,215.0,1918.0,21,22,2,24,20,1,21,3,2,20
96,24,3,5,6,7,3,9,0,1,282.0,5754.0,27,22,2,24,20,1,21,3,2,20
100,25,7,5,8,9,6,8,0,1,317.0,540284.0,35,23,2,25,21,1,22,12,8,21
102,26,9,3,2,5,7,9,0,1,225.0,2269.0,33,24,2,26,22,1,23,16,2,16
104,26,8,2,9,8,6,2,0,1,179.0,5907.0,26,24,2,26,22,1,23,16,2,16
106,26,7,4,2,8,2,1,0,1,260.0,539009.0,22,24,2,26,22,1,23,16,2,16
107,26,3,6,6,8,6,1,0,1,205.0,540104.0,24,24,2,26,22,1,23,16,2,16
109,28,7,7,5,9,9,4,0,1,160.0,2394.0,36,1,2,28,11,1,25,3,2,23
110,28,6,1,2,4,3,8,0,1,214.0,6044.0,22,1,2,28,11,1,25,3,2,23
120,32,9,4,3,4,10,9,0,1,179.0,3340.0,36,8,1,32,26,1,28,19,8,3
139,40,6,4,4,2,2,7,0,1,236.0,537399.0,21,20,2,3,3,1,35,21,2,2
