,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
97,24,1,3,5,2,1,3,0,1,182.0,537449.0,10,22,2,24,20,1,21,3,2,20
99,25,5,0,2,3,0,6,0,1,171.0,538565.0,14,23,2,25,21,1,22,12,8,21
101,26,0,0,8,7,0,6,0,1,146.0,2039.0,13,24,2,26,22,1,23,16,2,16
103,26,6,6,6,0,0,3,0,1,220.0,5070.0,15,24,2,26,22,1,23,16,2,16
119,31,7,2,8,2,1,5,0,1,254.0,5365.0,17,14,2,31,25,1,27,18,8,12
122,33,5,3,3,7,3,2,0,1,139.0,3362.0,20,15,2,33,27,1,29,2,2,26
124,34,5,1,1,5,0,8,0,1,184.0,3444.0,19,18,2,34,11,1,30,11,11,27
125,34,6,0,9,5,2,0,0,1,150.0,5530.0,13,18,2,34,11,1,30,11,11,27
126,34,8,1,6,8,3,4,0,1,172.0,537744.0,24,18,2,34,11,1,30,11,11,27
129,36,9,3,7,6,0,1,0,1,154.0,3728.0,19,25,2,36,29,1,31,7,2,29
130,37,9,6,8,2,1,2,0,1,185.0,3795.0,20,27,1,37,10,1,32,20,9,30
133,38,7,2,0,8,6,3,0,1,172.0,3930.0,26,28,2,38,6,1,33,19,8,31
134,38,0,5,4,7,1,6,0,1,160.0,4629.0,19,28,2,38,6,1,33,19,8,31
135,39,3,3,7,5,4,3,0,1,191.0,4361.0,18,29,1,39,6,1,34,2,2,32
138,40,7,1,5,1,1,0,0,1,141.0,4458.0,10,20,2,3,3,1,35,21,2,2
