,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
105,26,0,2,2,7,5,6,0,1,171.0,538496.0,20,24,2,26,22,1,23,16,2,16
111,29,0,8,0,7,5,0,0,1,220.0,2598.0,20,9,1,29,24,1,26,17,2,24
112,29,0,3,0,6,4,0,0,1,105.0,2800.0,13,9,1,29,24,1,26,17,2,24
113,29,0,0,0,9,9,0,0,1,175.0,540494.0,18,9,1,29,24,1,26,17,2,24
114,30,0,0,0,10,10,0,0,1,176.0,3093.0,20,26,1,30,10,1,19,13,2,25
115,30,0,0,0,5,9,0,0,1,112.0,4284.0,14,26,1,30,10,1,19,13,2,25
116,30,5,2,1,5,7,8,0,1,190.0,537628.0,27,26,1,30,10,1,19,13,2,25
117,30,0,0,0,5,5,10,0,1,208.0,539794.0,20,26,1,30,10,1,19,13,2,25
121,32,0,7,0,4,6,0,0,1,147.0,5270.0,17,8,1,32,26,1,28,19,8,3
123,33,2,3,6,1,8,0,0,1,176.0,537814.0,14,15,2,33,27,1,29,2,2,26
131,37,0,0,0,1,2,3,0,1,184.0,5256.0,6,27,1,37,10,1,32,20,9,30
132,37,0,0,0,2,4,0,0,1,237.0,539054.0,6,27,1,37,10,1,32,20,9,30
136,39,0,5,0,10,9,0,0,1,145.0,538858.0,24,29,1,39,6,1,34,2,2,32
137,39,0,0,0,6,3,7,0,1,111.0,539194.0,16,29,1,39,6,1,34,2,2,32
146,43,0,0,0,3,3,9,0,1,128.0,5917.0,15,12,1,42,32,1,29,5,2,35
147,44,0,0,0,6,9,5,0,1,94.0,6321.0,20,6,1,35,28,1,38,15,10,36
148,45,0,7,0,3,9,0,0,1,209.0,537564.0,19,4,1,43,8,1,39,15,1,37
149,45,0,5,0,9,10,0,0,1,179.0,538163.0,24,4,1,43,8,1,39,15,1,37
