,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
25,7,4,1,4,2,9,5,0,1,168.0,503.0,21,7,2,7,7,1,7,7,5,6
29,8,0,9,5,1,8,5,0,1,172.0,550.0,23,8,2,8,8,1,8,8,6,7
30,8,8,3,4,7,7,6,0,1,157.0,824.0,31,8,2,8,8,1,8,8,6,7
34,9,2,3,2,0,8,5,0,1,112.0,615.0,18,9,2,9,1,1,6,9,7,8
35,9,9,4,6,0,3,1,0,1,142.0,862.0,17,9,2,9,1,1,6,9,7,8
44,12,7,5,9,0,6,9,0,1,133.0,939.0,27,12,2,12,11,1,2,5,8,10
45,12,5,9,2,1,7,2,0,1,184.0,1549.0,24,12,2,12,11,1,2,5,8,10
46,12,9,1,4,2,4,8,0,1,188.0,1707.0,24,12,2,12,11,1,2,5,8,10
51,14,2,9,6,5,8,8,0,1,170.0,1046.0,32,6,2,14,13,1,11,2,6,12
52,14,2,4,7,3,7,2,0,1,178.0,1233.0,18,6,2,14,13,1,11,2,6,12
54,14,6,0,3,1,4,2,0,1,177.0,6149.0,13,6,2,14,13,1,11,2,6,12
60,16,5,8,4,8,4,3,0,1,169.0,1295.0,28,15,2,16,14,1,13,11,9,14
61,16,4,7,4,4,9,4,0,1,152.0,2155.0,28,15,2,16,14,1,13,11,9,14
62,16,3,4,2,8,5,9,0,1,147.0,2782.0,29,15,2,16,14,1,13,11,9,14
63,16,2,0,6,1,9,4,0,1,202.0,537218.0,16,15,2,16,14,1,13,11,9,14
64,16,2,0,2,3,4,2,0,1,148.0,540286.0,11,15,2,16,14,1,13,11,9,14
66,17,2,0,2,1,5,9,0,1,76.0,3185.0,17,16,2,17,15,1,14,3,8,15
68,17,6,7,7,0,2,0,0,1,174.0,540368.0,15,16,2,17,15,1,14,3,8,15
69,18,0,4,3,3,4,2,0,1,140.0,1441.0,13,17,2,18,16,1,15,11,8,2
70,18,1,2,1,9,5,2,0,1,190.0,2879.0,19,17,2,18,16,1,15,11,8,2
71,18,6,1,6,3,1,8,0,1,128.0,3216.0,19,17,2,18,16,1,15,11,8,2
85,22,4,4,3,3,9,9,0,1,151.0,1796.0,29,21,2,22,13,1,19,2,3,2
89,23,0,4,3,1,5,2,0,1,107.0,1820.0,12,14,2,23,19,1,20,15,10,19
90,23,4,8,2,2,1,1,0,1,134.0,537162.0,16,14,2,23,19,1,20,15,10,19
98,25,7,1,4,3,9,3,0,1,149.0,1980.0,23,23,2,25,21,1,22,12,8,21
118,31,1,6,1,1,7,4,0,1,138.0,3248.0,19,14,2,31,25,1,27,18,8,12
