,customer,red,blue,green,yellow,black,white,pending,shipped,transitDuration,fulfillDuration,amount,age,sex,city,state,country,income,credit,education,occupation
0,1,0,5,0,7,6,0,0,1,88.0,107.0,18,1,1,1,1,1,1,1,1,1
2,1,0,8,0,2,6,0,0,1,147.0,7258.0,16,1,1,1,1,1,1,1,1,1
3,1,0,0,1,2,6,0,0,1,91.0,9569.0,8,1,1,1,1,1,1,1,1,1
7,3,0,0,0,2,8,2,0,1,91.0,223.0,12,3,1,3,3,1,3,3,2,3
8,3,0,0,3,2,3,0,0,1,122.0,3099.0,5,3,1,3,3,1,3,3,2,3
9,3,0,6,0,10,3,0,0,1,163.0,3674.0,19,3,1,3,3,1,3,3,2,3
10,3,0,0,0,4,4,4,0,1,157.0,7604.0,12,3,1,3,3,1,3,3,2,3
11,3,0,1,0,5,5,0,0,1,107.0,8332.0,11,3,1,3,3,1,3,3,2,3
43,11,0,0,8,7,6,0,0,1,181.0,9907.0,13,11,1,11,10,1,9,5,1,2
48,13,0,5,0,4,3,0,0,1,134.0,972.0,12,13,1,13,12,1,10,2,2,11
49,13,0,10,0,1,1,0,0,1,113.0,2983.0,12,13,1,13,12,1,10,2,2,11
50,13,0,8,0,1,9,0,0,1,109.0,8140.0,18,13,1,13,12,1,10,2,2,11
